Height,Frequency,Density
89.848,0.200,495.0
90.000,0.213,562.0
95.000,1.152,16400.0
100.000,1.491,27500.0
105.000,1.667,34400.0
110.000,1.722,36700.0
115.000,1.690,35400.0
120.000,1.592,31400.0
121.480,1.549,29700.0
125.000,1.549,29700.0
130.000,1.549,29700.0
132.960,1.549,29700.0
135.000,1.580,30900.0
140.000,1.655,33900.0
144.440,1.722,36700.0
145.000,1.738,37400.0
150.000,1.868,43200.0
155.000,1.998,49400.0
160.000,2.144,56900.0
165.000,2.324,66900.0
170.000,2.578,82300.0
175.000,2.993,111000.0
180.000,3.489,151000.0
185.000,3.850,183000.0
190.000,4.084,206000.0
192.844,4.130,211000.0
195.000,4.122,210000.0
200.000,4.048,203000.0
205.000,3.913,190000.0
210.000,3.733,173000.0
215.000,3.524,154000.0
220.000,3.298,135000.0
225.000,3.066,116000.0
230.000,2.833,99400.0
235.000,2.606,84100.0
240.000,2.388,70600.0
245.000,2.182,59000.0
250.000,1.989,49000.0
255.000,1.809,40500.0
260.000,1.643,33400.0
265.000,1.490,27500.0
270.000,1.349,22500.0
275.000,1.221,18500.0
280.000,1.105,15100.0
285.000,0.998,12300.0
290.000,0.902,10100.0
295.000,0.815,8220.0
300.000,0.736,6700.0
305.000,0.664,5460.0
310.000,0.599,4440.0
315.000,0.541,3620.0
320.000,0.488,2940.0
325.000,0.440,2400.0
330.000,0.397,1950.0
335.000,0.358,1590.0
340.000,0.323,1290.0
345.000,0.291,1050.0
350.000,0.262,853.0
355.000,0.237,693.0
360.000,0.213,564.0
